fips,area_name,state_abbreviation,population_14,p_under18,p_over65,p_female,p_white,p_black,p_nAmerican,p_asian,p_pacificIsland,p_latino,p_foreignBorn,p_NotEnglish,p_highSchool,p_bachelors,p_vets,p_homeOwnership,p_multiStructures,person_per_house,median_hh_income,p_below_pov,pop_per_mile
1001,Autauga County,AL,55395,25.2,13.8,51.4,77.9,18.7,0.5,1.1,0.1,2.7,1.6,3.5,85.6,20.9,5922,76.8,8.3,2.71,53682,12.1,91.8
1003,Baldwin County,AL,200111,22.2,18.7,51.2,87.1,9.6,0.7,0.9,0.1,4.6,3.6,5.5,89.1,27.7,19346,72.6,24.4,2.52,50221,13.9,114.6
1005,Barbour County,AL,26887,21.2,16.5,46.6,50.2,47.6,0.6,0.5,0.2,4.5,2.9,5,73.7,13.4,2120,67.7,10.6,2.66,32911,26.7,31
1007,Bibb County,AL,22506,21,14.8,45.9,76.3,22.1,0.4,0.2,0.1,2.1,1.2,2.1,77.5,12.1,1327,79,7.3,3.03,36447,18.1,36.8
1009,Blount County,AL,57719,23.6,17,50.5,96,1.8,0.6,0.3,0.1,8.7,4.3,7.3,77,12.1,4540,81,4.5,2.7,44145,15.8,88.9
1011,Bullock County,AL,10764,21.4,14.9,45.3,26.9,70.1,0.8,0.3,0.7,7.5,5.4,5.2,67.8,12.5,636,74.3,8.7,2.73,32033,21.6,17.5
1013,Butler County,AL,20296,23.6,18,53.6,53.9,44,0.4,0.9,0,1.2,0.8,1.7,76.3,14,1497,70.3,13.3,2.47,29918,28.4,27
1015,Calhoun County,AL,115916,22.2,16,51.8,75.8,21.1,0.5,0.9,0.1,3.5,2.4,4.5,78.6,16.1,11385,68.7,13.8,2.54,39962,21.9,195.7
1017,Chambers County,AL,34076,21.4,18.3,52.3,58.3,39.5,0.3,0.8,0.1,2,1.1,1.3,75.1,11.8,2691,67.9,11.1,2.46,32402,24.1,57.4
1019,Cherokee County,AL,26037,20.4,20.9,50.2,93,4.6,0.5,0.3,0,1.5,0.7,1.1,78.3,12.8,2174,76.1,4.6,2.2,34907,21.2,46.9
1021,Chilton County,AL,43931,24.2,15.2,50.8,87.1,10.6,0.5,0.4,0.2,7.7,5.2,7.4,76,12.9,3308,74.5,4.1,2.67,41250,19.5,63
1023,Choctaw County,AL,13323,20.6,20.8,52.5,56.6,42.4,0.2,0.3,0,0.8,0.3,1.3,75.2,11.8,938,83.7,4,2.45,33941,21.5,15.2
1025,Clarke County,AL,24945,22.6,18,52.8,54,44.2,0.4,0.5,0,1.3,0.3,1.3,78.3,11.2,1583,72.9,6.8,2.63,29357,29.3,20.9
1027,Clay County,AL,13552,21.6,19.4,50.6,82.8,14.5,0.6,0.3,0,3.4,2.2,3.3,76.5,9.2,1076,75,10,2.38,34002,19,23.1
1029,Cleburne County,AL,15080,23.3,18.4,50.4,94.5,3.6,0.4,0.2,0.1,2.5,1.5,2.3,76,9,989,77.6,6.3,2.64,38019,18.4,26.7
1031,Coffee County,AL,50909,23.7,15.9,50.5,76.4,17.7,1.4,1.6,0.4,6.4,5.1,7.5,82.4,22.5,6066,69.9,13.5,2.65,43768,18.6,73.6
1033,Colbert County,AL,54543,21.7,18.5,51.8,80.8,16.3,0.6,0.5,0.1,2.6,2,2.6,83.5,17.7,4376,72.1,12.3,2.42,39077,17.9,91.8
1035,Conecuh County,AL,12670,21.4,20.4,51.9,52.1,46.2,0.4,0.1,0,1.8,0.6,2.2,77.3,8.8,1101,79.1,7.2,2.61,24658,32.7,15.6
1037,Coosa County,AL,10886,18.3,18.5,49.5,66.1,31.8,0.6,0.2,0.2,2.3,1.8,3.3,75,9.8,934,83,3,2.42,37277,20.9,17.7
1039,Covington County,AL,37914,22.1,19.8,51.6,84.3,13,0.6,0.5,0,1.6,1.4,2.1,78.4,14.2,3433,75.1,6,2.48,35869,20,36.6
1041,Crenshaw County,AL,13977,22.7,18,51.1,72,24,0.5,1.8,0.1,1.7,2.3,3.2,76.7,12.7,1098,69.9,8,2.46,36275,19.1,22.8
1043,Cullman County,AL,81289,22.5,17.6,50.5,96.2,1.4,0.6,0.5,0,4.4,3,4.6,79.8,14.8,6167,75,8.2,2.53,38847,18.8,109.4
1045,Dale County,AL,49484,23.6,15.4,50.5,75.2,19.7,0.8,1.3,0.1,6.1,3.7,6.3,84.1,17,6730,61.1,13.6,2.52,44889,17.4,89.6
1047,Dallas County,AL,41711,25.2,15.6,53.7,29,69.5,0.2,0.5,0,1,0.8,1.3,77.5,14.2,2897,60.9,19.3,2.63,26519,35.5,44.8
1049,DeKalb County,AL,71065,24.7,15.7,50.7,92.4,2.1,2.1,0.4,0.7,14.2,7.5,11.2,70.6,10.7,4371,76.3,6.7,2.82,37851,19.9,91.5
1051,Elmore County,AL,80977,23,14,51.5,76,21.2,0.4,0.7,0.1,2.7,2.1,3.6,86.6,21,8364,75.5,8.1,2.62,54766,13.4,128.2
1053,Escambia County,AL,37733,22,16.7,48.8,62.2,32.4,3.4,0.3,0.1,2.1,0.6,1.4,76.2,11.7,2995,72.5,9,2.59,30687,25.4,40.5
1055,Etowah County,AL,103531,22.1,17.3,51.6,81.2,15.5,0.5,0.8,0.3,3.7,2.2,3.1,81.8,14.8,8638,72.4,12.1,2.55,38013,19,195.2
1057,Fayette County,AL,16874,21.7,19.6,50.5,86.2,11.9,0.4,0.3,0,1.4,0.6,0.8,74.9,13.2,1221,74.9,8.7,2.41,33838,19.9,27.5
1059,Franklin County,AL,31601,24.3,15.9,50.3,91.9,4.6,1.5,0.4,0.2,16.1,8.4,13.2,72.5,11,1860,69.5,12,2.52,36415,21.9,50
1061,Geneva County,AL,26712,22.2,19.2,50.8,87.1,9.7,1,0.4,0.1,3.6,1.8,3,77.2,10.4,2336,72.1,5.6,2.43,35625,21.2,46.6
1063,Greene County,AL,8553,23.3,17.9,52.5,18.5,80.5,0.2,0.2,0,1,0.2,1.4,76.2,12.8,502,73.2,8.9,2.72,24226,32.9,14
1065,Hale County,AL,15184,23.3,17.3,52.8,40.8,58.1,0.2,0.3,0,1.3,1.2,2.7,77.4,12.8,995,78,6.1,2.56,30051,26.6,24.5
