fips,dem_votes,rep_votes,winning_cand_percentage,totalvotes
1001,5936,18172,0.489969167,24973
1003,18458,72883,0.571601113,95215
1005,4871,5454,0.055688222,10469
1007,1874,6738,0.551536455,8819
1009,2156,22859,0.809090199,25588
1011,3530,1140,-0.507430998,4710
1013,3726,4901,0.134562529,8732
1015,13242,32865,0.409974093,47864
1017,5784,7843,0.148129496,13900
1019,1547,8953,0.690021429,10733
1021,2911,15081,0.662529261,18369
1023,3109,4106,0.136725178,7292
1025,5749,7140,0.106745453,13031
1027,1237,5245,0.605072464,6624
1029,684,5764,0.770514182,6593
1031,4221,15875,0.561178793,20767
1033,7312,16746,0.378647401,24915
1035,3080,3420,0.051632498,6585
1037,1782,3381,0.304455446,5252
1039,2387,13267,0.682559598,15940
1041,1664,4513,0.454603479,6267
1043,3798,32989,0.770760172,37873
1045,4413,13808,0.501093392,18749
1047,12836,5789,-0.375,18792
1049,3622,21405,0.688569658,25826
1051,8443,27634,0.515056361,37260
1053,4605,9935,0.359043449,14845
1055,10442,32353,0.496128068,44164
1057,1362,6712,0.648563462,8249
1059,2197,9466,0.603737542,12040
1061,1525,9994,0.720275557,11758
1063,4013,838,-0.650614754,4880
1065,4775,3173,-0.199253731,8040
1067,2292,5632,0.413776016,8072
1069,10664,30728,0.470555126,42639
1071,3673,16672,0.619471979,20984
1073,156873,134768,-0.072668159,304191
1075,1036,5823,0.687194947,6966
1077,9952,27899,0.454067046,39525
1079,3627,10833,0.485939713,14829
1081,21230,34617,0.22616614,59191
1083,9468,29067,0.48639996,40294
1085,4883,1751,-0.468581688,6684
1087,7566,1431,-0.671225383,9140
1089,62822,89520,0.163401453,163389
1091,5615,5233,-0.034746225,10994
1093,1432,11274,0.758009858,12984
1095,4917,29233,0.688526447,35316
1097,72186,95116,0.132745156,172737
1099,4332,5795,0.142439879,10271
1101,58916,34003,-0.259840631,95878
1103,11254,37486,0.517968565,50644
1105,3824,1407,-0.457938613,5278
1107,3972,5456,0.155522951,9542
1109,5056,7693,0.200258202,13168
1111,2291,7705,0.531461667,10187
1113,9579,9210,-0.019162858,19256
1115,5589,31651,0.678697917,38400
1117,22977,73020,0.494232327,101254
1119,4746,1581,-0.493682733,6411
1121,12121,20614,0.254228156,33407
1123,5519,13594,0.414400082,19486
1125,31762,47723,0.192998791,82700
1127,4497,24266,0.670772258,29472
1129,2374,6042,0.429860541,8533
1131,4339,1737,-0.425302386,6118
1133,872,9228,0.810239504,10313
4001,17083,8240,-0.319691985,27661
4003,17450,28092,0.212776167,50015
4005,32404,21108,-0.188946875,59784
4007,7003,14182,0.19562907,36697
4009,3301,8025,0.232640599,20306
4011,1092,1892,0.154083205,5192
4012,1575,4003,0.407998656,5951
4013,702907,747361,0.028353767,1567834
4015,17455,58282,0.510701375,79943
4017,16459,20577,0.102198839,40294
4019,224661,167428,-0.135739019,421640
4021,47892,72819,0.192418137,129546
4023,11690,3897,-0.474228686,16433
4025,35590,71330,0.312276103,114450
4027,24605,25165,0.010564045,53010
5001,1939,3826,0.303766903,6212
5003,2408,5338,0.362489175,8083
5005,4169,14682,0.531872913,19766
5007,28005,60871,0.339440635,96824
5009,2926,12235,0.577803985,16111
5011,1317,2164,0.231864221,3653
5013,639,1556,0.404142794,2269
5015,3342,6786,0.320133854,10758
5017,2350,1716,-0.151819923,4176
5019,3620,4404,0.091954023,8526
5021,1199,3781,0.496538462,5200
5023,2101,9458,0.608771204,12085
5025,723,2462,0.518485391,3354
5027,3140,5456,0.260605379,8887
5029,2656,4849,0.276649426,7927
5031,10538,22892,0.347285863,35573
5033,4488,16686,0.543340757,22450
5035,8410,6964,-0.090646941,15952
